2022-02-23 08:47:09 status installed lsb-base:all 11.1.0ubuntu2
2022-02-23 08:47:09 configure libaudit-common:all 1:2.8.5-2ubuntu6 <none>
2022-02-23 08:47:09 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2022-02-23 08:47:09 status half-configured libaudit-common:all 1:2.8.5-2ubuntu6
2022-02-23 08:47:09 status installed libaudit-common:all 1:2.8.5-2ubuntu6
2022-02-23 08:47:09 configure libsemanage-common:all 3.0-1build2 <none>
2022-02-23 08:47:09 status unpacked libsemanage-common:all 3.0-1build2
2022-02-23 08:47:09 status half-configured libsemanage-common:all 3.0-1build2
2022-02-23 08:47:09 status installed libsemanage-common:all 3.0-1build2
2022-02-23 08:47:09 configure gcc-10-base:amd64 10-20200411-0ubuntu1 <none>
2022-02-23 08:47:09 status unpacked gcc-10-base:amd64 10-20200411-0ubuntu1
2022-02-23 08:47:09 status half-configured gcc-10-base:amd64 10-20200411-0ubuntu1
2022-02-23 08:47:09 status installed gcc-10-base:amd64 10-20200411-0ubuntu1
2022-02-23 08:47:09 configure ncurses-base:all 6.2-0ubuntu2 <none>
2022-02-23 08:47:09 status unpacked ncurses-base:all 6.2-0ubuntu2
2022-02-23 08:47:09 status half-configured ncurses-base:all 6.2-0ubuntu2
2022-02-23 08:47:09 status installed ncurses-base:all 6.2-0ubuntu2
2022-02-23 08:47:09 configure sensible-utils:all 0.0.12+nmu1 <none>
2022-02-23 08:47:09 status unpacked sensible-utils:all 0.0.12+nmu1
2022-02-23 08:47:09 status half-configured sensible-utils:all 0.0.12+nmu1
2022-02-23 08:47:09 status installed sensible-utils:all 0.0.12+nmu1
2022-02-23 08:47:09 configure libcrypt1:amd64 1:4.4.10-10ubuntu4 <none>
2022-02-23 08:47:09 status unpacked libcrypt1:amd64 1:4.4.10-10ubuntu4
2022-02-23 08:47:09 status half-configured libcrypt1:amd64 1:4.4.10-10ubuntu4
2022-02-23 08:47:09 status installed libcrypt1:amd64 1:4.4.10-10ubuntu4
2022-02-23 08:47:09 configure libgcc-s1:amd64 10-20200411-0ubuntu1 <none>
2022-02-23 08:47:09 status unpacked libgcc-s1:amd64 10-20200411-0ubuntu1
2022-02-23 08:47:09 status half-configured libgcc-s1:amd64 10-20200411-0ubuntu1
2022-02-23 08:47:09 status installed libgcc-s1:amd64 10-20200411-0ubuntu1
2022-02-23 08:47:09 configure libc6:amd64 2.31-0ubuntu9 <none>
2022-02-23 08:47:09 status unpacked libc6:amd64 2.31-0ubuntu9
2022-02-23 08:47:09 status half-configured libc6:amd64 2.31-0ubuntu9
2022-02-23 08:47:09 status installed libc6:amd64 2.31-0ubuntu9
2022-02-23 08:47:09 configure libudev1:amd64 245.4-4ubuntu3 <none>
2022-02-23 08:47:09 status unpacked libudev1:amd64 245.4-4ubuntu3
2022-02-23 08:47:09 status half-configured libudev1:amd64 245.4-4ubuntu3
2022-02-23 08:47:09 status installed libudev1:amd64 245.4-4ubuntu3
2022-02-23 08:47:09 configure libsepol1:amd64 3.0-1 <none>
2022-02-23 08:47:09 status unpacked libsepol1:amd64 3.0-1
2022-02-23 08:47:09 status half-configured libsepol1:amd64 3.0-1
2022-02-23 08:47:09 status installed libsepol1:amd64 3.0-1
2022-02-23 08:47:09 configure libattr1:amd64 1:2.4.48-5 <none>
2022-02-23 08:47:09 status unpacked libattr1:amd64 1:2.4.48-5
2022-02-23 08:47:09 status half-configured libattr1:amd64 1:2.4.48-5
2022-02-23 08:47:09 status installed libattr1:amd64 1:2.4.48-5
2022-02-23 08:47:09 configure debianutils:amd64 4.9.1 <none>
2022-02-23 08:47:09 status unpacked debianutils:amd64 4.9.1
2022-02-23 08:47:09 status half-configured debianutils:amd64 4.9.1
2022-02-23 08:47:09 status installed debianutils:amd64 4.9.1
2022-02-23 08:47:09 configure mawk:amd64 1.3.4.20200120-2 <none>
2022-02-23 08:47:09 status unpacked mawk:amd64 1.3.4.20200120-2
2022-02-23 08:47:09 status half-configured mawk:amd64 1.3.4.20200120-2
2022-02-23 08:47:09 status installed mawk:amd64 1.3.4.20200120-2
2022-02-23 08:47:09 configure libdebconfclient0:amd64 0.251ubuntu1 <none>
2022-02-23 08:47:09 status unpacked libdebconfclient0:amd64 0.251ubuntu1
2022-02-23 08:47:09 status half-configured libdebconfclient0:amd64 0.251ubuntu1
2022-02-23 08:47:09 status installed libdebconfclient0:amd64 0.251ubuntu1
2022-02-23 08:47:09 configure base-files:amd64 11ubuntu5 <none>
2022-02-23 08:47:09 status unpacked base-files:amd64 11ubuntu5
2022-02-23 08:47:09 status half-configured base-files:amd64 11ubuntu5
2022-02-23 08:47:09 status installed base-files:amd64 11ubuntu5
2022-02-23 08:47:09 configure libbz2-1.0:amd64 1.0.8-2 <none>
2022-02-23 08:47:09 status unpacked libbz2-1.0:amd64 1.0.8-2
2022-02-23 08:47:09 status half-configured libbz2-1.0:amd64 1.0.8-2
2022-02-23 08:47:09 status installed libbz2-1.0:amd64 1.0.8-2
2022-02-23 08:47:09 configure base-passwd:amd64 3.5.47 <none>
2022-02-23 08:47:09 status unpacked base-passwd:amd64 3.5.47
2022-02-23 08:47:09 status half-configured base-passwd:amd64 3.5.47
2022-02-23 08:47:10 status installed base-passwd:amd64 3.5.47
