2025-01-06 20:13:51 startup archives install
2025-01-06 20:13:51 install base-passwd:amd64 <none> 3.6.3build1
2025-01-06 20:13:51 status half-installed base-passwd:amd64 3.6.3build1
2025-01-06 20:13:51 status unpacked base-passwd:amd64 3.6.3build1
2025-01-06 20:13:51 configure base-passwd:amd64 3.6.3build1 3.6.3build1
2025-01-06 20:13:51 status half-configured base-passwd:amd64 3.6.3build1
2025-01-06 20:13:51 status installed base-passwd:amd64 3.6.3build1
2025-01-06 20:13:51 startup archives install
2025-01-06 20:13:51 install base-files:amd64 <none> 13ubuntu10
2025-01-06 20:13:51 status half-installed base-files:amd64 13ubuntu10
2025-01-06 20:13:51 status unpacked base-files:amd64 13ubuntu10
2025-01-06 20:13:51 configure base-files:amd64 13ubuntu10 13ubuntu10
2025-01-06 20:13:51 status half-configured base-files:amd64 13ubuntu10
2025-01-06 20:13:52 status installed base-files:amd64 13ubuntu10
2025-01-06 20:13:52 startup archives install
2025-01-06 20:13:52 upgrade dpkg 1.22.6ubuntu6 1.22.6ubuntu6
2025-01-06 20:13:52 status half-configured dpkg 1.22.6ubuntu6
2025-01-06 20:13:52 status unpacked dpkg 1.22.6ubuntu6
2025-01-06 20:13:52 status half-installed dpkg 1.22.6ubuntu6
2025-01-06 20:13:52 status unpacked dpkg:amd64 1.22.6ubuntu6
2025-01-06 20:13:52 configure dpkg:amd64 1.22.6ubuntu6 1.22.6ubuntu6
2025-01-06 20:13:52 status half-configured dpkg:amd64 1.22.6ubuntu6
2025-01-06 20:13:52 status installed dpkg:amd64 1.22.6ubuntu6
2025-01-06 20:13:52 startup archives install
2025-01-06 20:13:52 install libc6:amd64 <none> 2.39-0ubuntu8
2025-01-06 20:13:52 status half-installed libc6:amd64 2.39-0ubuntu8
2025-01-06 20:13:52 status unpacked libc6:amd64 2.39-0ubuntu8
2025-01-06 20:13:52 configure libc6:amd64 2.39-0ubuntu8 2.39-0ubuntu8
2025-01-06 20:13:52 status half-configured libc6:amd64 2.39-0ubuntu8
2025-01-06 20:13:52 status installed libc6:amd64 2.39-0ubuntu8
2025-01-06 20:13:52 startup archives install
2025-01-06 20:13:52 install perl-base:amd64 <none> 5.38.2-3.2build2
2025-01-06 20:13:52 status half-installed perl-base:amd64 5.38.2-3.2build2
2025-01-06 20:13:53 status unpacked perl-base:amd64 5.38.2-3.2build2
2025-01-06 20:13:53 configure perl-base:amd64 5.38.2-3.2build2 5.38.2-3.2build2
2025-01-06 20:13:53 status half-configured perl-base:amd64 5.38.2-3.2build2
2025-01-06 20:13:53 status installed perl-base:amd64 5.38.2-3.2build2
2025-01-06 20:13:53 startup archives install
2025-01-06 20:13:53 install mawk:amd64 <none> 1.3.4.20240123-1build1
2025-01-06 20:13:53 status half-installed mawk:amd64 1.3.4.20240123-1build1
2025-01-06 20:13:53 status unpacked mawk:amd64 1.3.4.20240123-1build1
2025-01-06 20:13:53 configure mawk:amd64 1.3.4.20240123-1build1 1.3.4.20240123-1build1
2025-01-06 20:13:53 status half-configured mawk:amd64 1.3.4.20240123-1build1
2025-01-06 20:13:53 status installed mawk:amd64 1.3.4.20240123-1build1
2025-01-06 20:13:53 startup archives install
